Parameters,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,T_onset,dG_std,dCp_component
A1,1.1500095544277926,357.35130608625184,0.3283698499630242,118.4469956757113,7131.091231405161,0.36144407708018084,170.18665994472423,9601.31893982046,0.48656969813326967
A10,1.2662874398844757,392.46954208404054,0.5272248937597591,191.92364361864077,5783.122648248617,0.32910072345962826,136.66028451294227,7766.575661002491,0.4419063642404112
A11,1.3577677463479592,421.7366706823132,0.44550525156717663,161.2371819452327,6419.728200821722,0.328392293301067,152.74453176299582,8639.288336873811,0.4418641415563335
A12,1.15184460152714,358.15813806795785,0.3849280597205349,139.12559016197457,6296.491269774917,0.3006202225724876,150.1068456846308,8470.850887558321,0.4043765169462993
A2,1.0778638000349627,334.94203641290756,0.3195627878397177,115.36168835798321,7285.222443860827,0.3660800834496262,173.76415095824478,9808.060799400359,0.492774247349645
A3,3.091161310543389,945.3830548918415,1.3756309706338268,506.95962857123624,10131.731279016001,1.1762660461763503,234.29389411467025,13573.45097011623,1.5752746316231927
A4,2.8863855889051595,885.529364319642,1.4400002060857389,530.9863929248636,10091.907167563584,0.8836680964142092,234.0947048256165,13522.651557598727,1.1838109275056263
A5,3.1890303116652303,974.3195450715558,1.8337628310896859,680.7210462502356,11277.471032453714,1.0522314671288806,259.5249615031201,15094.635652187002,1.4080955926375383
A6,2.8308923159087187,871.6650865551065,1.8851883334978081,696.707008980845,10694.008781581322,0.7143003364524656,248.45993066881732,14316.391278877074,0.9561285225680202
A7,3.2716157582499985,1004.7995528224751,1.9288276443682026,713.0033082608101,10273.624972105845,0.7776858913956161,238.16112886093177,13758.280407781078,1.0412966419481338
A8,2.134086138498776,656.9893127443686,1.2826910972588585,472.85920302140147,8408.412767719788,0.5859697188460107,195.64955796739164,11257.749336767374,0.7844182600586681
A9,1.3124117862708986,407.30383156306254,0.6069421968466957,221.00697241988905,5655.2691016236795,0.29365588392286807,133.7557951632445,7591.048661571795,0.3941224072071649
B1,1.3969817214199844,434.55340986384465,0.45700513296188006,165.12235740447562,7223.9761363500065,0.33333640448806773,172.3463464844921,9724.074651855795,0.44863853582087176
B10,1.3474526919454712,419.9049884718579,0.48378169049801273,174.67129643592585,7408.827955049639,0.30182359144154025,177.1312664676878,9968.16421326355,0.4060413984503175
