Parameters,Condition,kN_init,bN_init,kU_init,bU_init,dHm_init,Tm_init,kN_fit,bN_fit,kU_fit,bU_fit,dHm_fit,Tm_fit,S,BS_factor,T_onset,dCp_component,dG_std
F9,,-3.903030303030183,2313.4884848484458,-7.23636363636367,2655.2309090909225,100000.0,333.15,-1.4995548579971285,1578.2335531467288,-8.970365929893175,3278.206438618677,185045.90630964618,331.64540418626285,5.277382052369674,0.9592840291315431,310.39276108686323,-1.751486123026563,18689.200412901922
H10,,-4.0242424242423835,2317.8278787878653,-6.472727272727301,2375.461818181829,100000.0,332.15,-1.9670438155853465,1694.0558690382063,-8.26454199953349,3022.786329324158,185947.15957602792,331.3885098606304,7.885070240963588,0.9376006788127831,310.26402245334316,-1.725629894834782,18650.63607583544
H3,,-5.036363636363581,2665.5918181818,-5.915151515151538,2171.0145454545545,100000.0,332.15,-2.5805054015662314,1918.4547268277258,-8.057195244011485,2943.782534184301,184610.46922720943,331.3207329083121,7.933170046123567,0.9396879991321232,310.0615272872246,-1.71883805363316,18482.587893189793
B1,,-4.2545454545453945,2463.4927272727073,-6.618181818181844,2428.0654545454645,100000.0,332.15,-2.210970560613706,1847.0084506381882,-8.403761877706327,3071.103085230408,178090.48051163447,331.993960398643,8.574589995629267,0.9381546990575577,309.92162810982904,-1.786854029158583,18154.80969163952
B11,,-4.2363636363635315,2424.071818181784,-5.800000000000024,2129.6700000000087,100000.0,332.15,-1.9412376472759683,1728.7544817805367,-7.805399968146468,2851.8614804927847,180028.2850638489,331.5520519659287,7.797368439584654,0.9430272396337877,309.75788802091404,-1.7420695825363488,18136.86296731969
H11,,-4.751515151515065,2547.864242424214,-6.054545454545483,2222.7263636363746,100000.0,331.15,-2.6463071270085234,1911.8202128113546,-7.889627996674148,2885.1576668381595,181282.64683358822,331.29271831285314,8.227587369104597,0.9353631524768408,309.67226335745823,-1.7160343911115845,18135.62256849928
H7,,-5.096969696969611,2659.2615151514865,-6.884848484848513,2526.7054545454653,100000.0,332.15,-2.660809596923128,1917.7203377055635,-9.005528645798613,3293.2751669425347,182533.51215113478,330.71597102432554,7.3517237489224305,0.9389683264700129,309.30638329500704,-1.6587885845118393,17974.278802655703
G12,,-5.43030303030296,2794.6448484848247,-6.406060606060635,2351.051818181829,100000.0,332.15,-2.966314461047397,2046.9935121740195,-8.556583196230944,3126.3781232337274,181355.67584730263,330.8468938696691,7.347725589300167,0.9427552872544851,309.2908135208026,-1.6717040599737132,17922.99518513021
E10,,-7.1939393939392895,3294.273030302995,-6.793939393939428,2493.9281818181944,100000.0,331.15,-4.370747366616308,2431.3565110202394,-8.796401382118436,3215.3310005382896,185265.82877398538,330.0145525949902,5.79577638199677,0.9486004534170561,308.98717630259836,-1.5903906553341223,17888.34067650364
B9,,-4.2484848484847495,2422.6857575757253,-6.121212121212143,2246.7363636363725,100000.0,332.15,-2.0334348984853503,1752.2987636321752,-8.05986804697152,2943.7308686706615,176986.3515118976,331.6573350521197,7.431396278050504,0.9447670547085115,309.50000847806695,-1.7526913052847348,17880.9281538412
H12,,-4.73939393939384,2568.2503030302705,-6.02424242424245,2211.867272727282,100000.0,332.15,-2.460348177188102,1879.345367629299,-8.014929653433695,2928.998899065324,178795.39770490243,331.212781383226,8.019964827291624,0.9390961869438395,309.3216628938942,-1.7080461341970867,17847.962032009687
D9,,-4.024242424242338,2326.627878787851,-6.121212121212147,2246.9363636363732,100000.0,332.15,-1.9017925703190803,1684.091354677012,-7.981078092368729,2914.7930349379117,176444.2146803979,331.61453855361253,6.566948645816721,0.9498245172161446,309.39923564935555,-1.7483700581951993,17805.68563274695
F10,,-4.715151515151425,2505.622424242395,-5.666666666666691,2080.650000000009,100000.0,332.15,-2.0836827049289024,1703.1550829520434,-7.809657183188548,2851.6086437860954,180149.4136734809,330.81717398836463,6.361493655848382,0.9488212542327074,309.12998843076156,-1.66876811041746,17789.19809217784
B12,,-3.43030303030298,2123.5448484848316,-6.024242424242451,2211.6672727272826,100000.0,332.15,-1.1634743211379945,1437.0296927361258,-8.007155294115034,2924.9546431282947,177603.4903552319,331.3105034351357,7.435698628418165,0.9427625777219876,309.26967523015344,-1.7178140548156797,17776.13776488614
G1,,-6.357575757575648,3065.5112121211764,-6.060606060606091,2224.818181818193,100000.0,331.15,-4.050418370960604,2367.798829531905,-8.073308435989409,2950.7954992689315,178679.36699627485,330.911679794785,7.553681178890278,0.9394271657305329,309.045779131134,-1.6781124304836794,17690.025964321045
H8,,-6.19999999999991,3011.7299999999705,-6.400000000000026,2348.96000000001,100000.0,331.15,-3.7129425930518223,2257.107595398721,-8.569957695956866,3131.5452172535147,178772.78627533562,330.76089210927466,7.504341073709792,0.9384951435061035,308.92491901456964,-1.663214764061781,17625.844482767126
F1,,-6.636363636363522,3158.6318181817805,-6.600000000000026,2421.79000000001,100000.0,331.15,-4.189405666600676,2415.62938597253,-8.736581531615856,3191.7574036583455,178142.44243014054,330.8749942373112,7.102576709244474,0.9414959334047525,308.9522569354846,-1.674482234809087,17619.072167677015
F11,,-5.412121212121106,2737.0239393939046,-5.509090909090931,2023.4627272727355,100000.0,331.15,-2.8526791243639127,1959.2765831598374,-7.746808468925431,2828.824733317909,177973.41618747366,330.90673812337764,7.019394133161567,0.9438412697886761,308.9604901237591,-1.677623217002079,17617.739125041146
E12,,-7.787878787878691,3491.556060606029,-6.206060606060633,2277.8218181818283,100000.0,332.15,-5.01662731774021,2645.0910908040432,-8.422194009561169,3075.6758598678184,178385.1134591359,330.7734502043709,6.635838948959458,0.9427851430671365,308.89155505366665,-1.6644531261860287,17593.727255133468
D12,,-5.884848484848385,2869.767575757543,-5.424242424242448,1992.5772727272815,100000.0,331.15,-3.2741901023549285,2075.7661502293026,-7.706049001320185,2814.055157287013,177952.81968449787,330.7618816100741,6.912161022362785,0.9430003983025187,308.8318373333138,-1.6633123237971361,17545.480934744322
H2,,-5.721212121212048,2868.3793939393695,-6.218181818181843,2283.4054545454637,100000.0,331.15,-3.3303548801564387,2145.5240255454196,-8.30632579992042,3035.7200284617998,177538.57542828488,330.8205033089057,7.926621192681912,0.9370867463396868,308.83515827064235,-1.6690968856347368,17532.996165513203
D11,,-4.406060606060516,2460.46696969694,-6.387878787878818,2344.576363636375,100000.0,331.15,-2.084334260613858,1757.8995720472049,-8.417327674160347,3075.1379949757043,175111.40423914927,331.3123406696684,7.779092122125398,0.9402344218189066,308.97874496006165,-1.7179979461810042,17527.581468245397
D1,,-6.42424242424231,3083.387878787841,-6.1272727272727545,2249.428181818192,100000.0,331.15,-3.8627668680851652,2304.228413778932,-8.367955611664652,3055.4300453073474,175435.22263913281,331.1751956682857,6.9140227119828435,0.9440012839118009,308.89788280186707,-1.7042961207179452,17494.615027176864
H4,,-7.296969696969582,3307.591515151478,-6.369696969696998,2337.90090909092,100000.0,331.15,-4.266163678107956,2379.529805074017,-8.985053315630191,3280.9909612936294,180777.1744805988,330.0911485861006,6.623304011453962,0.9394396982836183,308.56604351900086,-1.5977944100762898,17492.83679914883
H9,,-4.472727272727155,2475.943636363598,-6.109090909090938,2242.552727272738,100000.0,332.15,-1.6799680399612935,1626.3197365935596,-8.552307407326097,3121.3310316064035,177157.99083176782,330.6534201819536,7.422920449918728,0.9427060491189407,308.6454960519011,-1.6526344667442423,17414.73174971837
E11,,-6.242424242424166,2989.3787878787625,-5.854545454545479,2149.696363636373,100000.0,332.15,-3.389790255885132,2118.0764825491683,-8.058918031063,2942.614031150222,174917.71398704938,330.9721260965309,6.542795490254074,0.9455382458912941,308.65981379317685,-1.6841018479389227,17346.389053093273
F12,,-6.2545454545453705,3002.7927272726993,-5.812121212121238,2133.8536363636463,100000.0,331.15,-3.690135513231801,2224.93931927294,-8.052776526344402,2940.7788426107463,176117.9462961835,330.68106349050123,7.475104890145837,0.9382905489807375,308.54829566249856,-1.655352861646012,17325.770131201996
G11,,-6.406060606060486,3093.5669696969303,-6.969696969697002,2557.990909090921,100000.0,332.15,-3.7655622809409475,2290.092644944314,-9.275535667618879,3387.6179791869035,176233.6241040803,330.6551009914765,6.8545244936708905,0.9432239929019892,308.5392460866472,-1.652799695133048,17324.67375346708
C2,,-6.999999999999913,3262.849999999971,-5.830303030303054,2140.5290909091,100000.0,331.15,-4.22282026644574,2417.9032452177,-8.25936478517677,3014.4051016077933,175162.8588221214,330.83235126719546,7.176543725934152,0.9417265754786366,308.5673472853626,-1.6702671335812695,17304.033475151846
H5,,-6.848484848484769,3193.075757575731,-6.048484848484878,2221.034545454557,100000.0,332.15,-4.021168274723503,2331.822491527052,-8.321742244909624,3039.4121520656213,177053.51285876174,330.40229498856934,6.607635803626384,0.9444214834434554,308.4145718435965,-1.6280347485686804,17283.11882845972
B8,,-3.503030303030224,2188.828484848459,-6.509090909090934,2388.6127272727367,100000.0,333.15,-1.0702310107138995,1449.8471084583425,-8.142143191291323,2971.493951203071,168114.1317766022,332.2881299687001,6.396328665717611,0.9536646571390216,308.95801219513453,-1.8169590871127426,17271.462813629314
