"well","val_t_310.15","val_t_311.15","val_t_312.15","val_t_313.15","val_t_314.15","val_t_315.15","val_t_316.15","val_t_317.15","val_t_318.15","val_t_319.15","val_t_320.15","val_t_321.15","val_t_322.15","val_t_323.15","val_t_324.15","val_t_325.15","val_t_326.15","val_t_327.15","val_t_328.15","val_t_329.15","val_t_330.15","val_t_331.15","val_t_332.15","val_t_333.15","val_t_334.15","val_t_335.15","val_t_336.15","val_t_337.15","val_t_338.15","val_t_339.15","val_t_340.15","val_t_341.15","val_t_342.15","val_t_343.15","val_t_344.15","val_t_345.15","val_t_346.15","val_t_347.15","val_t_348.15","val_t_349.15","val_t_350.15","val_t_351.15","val_t_352.15","val_t_353.15","val_t_354.15","val_t_355.15","val_t_356.15","val_t_357.15","val_t_358.15","val_t_359.15","val_t_360.15","val_t_361.15","val_t_362.15","val_t_363.15","val_t_364.15","val_t_365.15","val_t_366.15","val_t_367.15","row","col"
"A01",0.0470403553184631,0.0385501126164696,0.0304458376960558,0.0307622218170581,0.0342189197663787,0.0359850293671463,0.0376775427376198,0.042261909734723,0.062622332008517,0.0764945899529828,0.0982035496258676,0.120461945849567,0.147269382970114,0.181015606510648,0.216147280461682,0.250046146591331,0.285277420473151,0.32669143116709,0.367933877159514,0.412580813159815,0.460467491343666,0.505682376768915,0.556284917336398,0.605330326502021,0.649592068659648,0.694697859239441,0.732076238155309,0.764165837683475,0.794302224606032,0.817459440815974,0.839973352476872,0.858889283512909,0.878274211271007,0.895207761471375,0.909786705935593,0.922102789022894,0.935033054701648,0.945799492147505,0.95539000040334,0.962952580545599,0.971215327946189,0.975783065037377,0.98196917666877,0.985449498438618,0.989692361729524,0.99217010479722,0.99459153204557,0.996958541876507,0.996854966632454,0.997550804192386,0.99823151395547,0.998117591372014,0.997234398514712,0.997133370990912,0.994767599053619,0.992450608651456,0.990180906389328,0.986491623814326,"01","01"
"A02",0.0403351547348919,0.0382455985772915,0.0327029716048684,0.0318999939146959,0.0299739620637709,0.0326037607591833,0.0385246084878819,0.0443180142144284,0.048895726227887,0.0598618695279945,0.0738079962748888,0.0885248425488202,0.103988795211632,0.124325632706485,0.150415778581846,0.172939202477613,0.200053544236245,0.232621782796608,0.265550425701493,0.298829167666399,0.33244809258541,0.366397655331383,0.402569900559308,0.436194156697276,0.472006571935701,0.507173243198175,0.539878194679124,0.573820928341734,0.608068298021088,0.639934211564582,0.673905361420776,0.7046630747984,0.735769111186797,0.766351997920614,0.795569331211992,0.820909741175791,0.844151541053635,0.863676726621241,0.880403151991331,0.894398031334477,0.907355898298436,0.918492956988029,0.928653898928374,0.937065670723949,0.944558306247386,0.950369256098822,0.956869778063726,0.962500667158092,0.96651534743629,0.970470514957775,0.973612698396519,0.975959710945287,0.978272688672289,0.981290851569492,0.980599837565693,0.981374638778389,0.981415646797226,0.98002044841879,"01","02"
"A03",0.0469541783896699,0.0400046729819267,0.0300773009525789,0.0270029543644467,0.0287759357729316,0.0335560689809085,0.0381429477780128,0.0484645486101616,0.0670873835746782,0.0850003695299558,0.103639467613999,0.129817200005155,0.149667895560953,0.179391244282721,0.211977077231977,0.246001779805806,0.278882215041911,0.325489360028109,0.364507911764987,0.40705724213475,0.451794297461033,0.497459353171473,0.548570829812977,0.595898258288859,0.641822765917246,0.684225268231962,0.72218327781027,0.756945336511472,0.785512062299548,0.809170018871444,0.833200035068101,0.85157252102732,0.870447275193657,0.886875945486123,0.902880485084557,0.917525774490664,0.929923762095002,0.942013609747671,0.950141451688633,0.959882567734097,0.967601583703684,0.973370315758307,0.979004059108491,0.982780858745115,0.987324751034918,0.990078316539435,0.992770329117406,0.995402829877363,0.995529387557848,0.99646050978862,0.997371708541472,0.996683195272195,0.997572972780301,0.996896647384425,0.993936532848324,0.991794651586011,0.99044632576938,0.986895781237777,"01","03"
"A04",0.0379178977681508,0.0350217736321332,0.0321890978708035,0.0305780733283643,0.0312972429148512,0.0320011581999455,0.0338140365541768,0.0389254612599558,0.0494349933193415,0.0586412407697686,0.0698189810914794,0.0839769540961003,0.0989125479557754,0.117743467762516,0.141393278996323,0.164589554008008,0.188362225246756,0.222769442828388,0.255537225506741,0.286710990879721,0.320253645723871,0.35512985008644,0.389379295954305,0.424925951019514,0.458899882152694,0.494153143614362,0.526937256120678,0.561919970053516,0.595393211243595,0.626490019853126,0.660656080390226,0.692473700749371,0.723766670608612,0.755423492979408,0.78482972354357,0.812901227111548,0.837105964722524,0.856687891715486,0.8734384338498,0.88992784187902,0.902849277652136,0.913928630473695,0.924839207433496,0.933965951053685,0.942152380086666,0.947824726064208,0.95420471134518,0.960491073451534,0.965125931595216,0.968919435827905,0.971889706966269,0.974817633593412,0.977704114802547,0.98055002441206,0.98036699600637,0.979444379734104,0.980008497629408,0.978368966491817,"01","04"
"A05",0.0466831650978133,0.0397786310837145,0.0315143489812665,0.0269425500602891,0.0274232605882376,0.0310384365148301,0.0391251541272221,0.049885148450207,0.0646283696988433,0.0845569029757111,0.105100368685813,0.123440659946518,0.147889027050012,0.176759040019596,0.213741930903319,0.248080692354738,0.284980818125087,0.326793133869588,0.367153061866073,0.412139335809563,0.460338283754578,0.505784689832729,0.555466843761742,0.602437024367292,0.650142485866397,0.693102594753847,0.730461754848687,0.762472346990009,0.791453687969121,0.814461021065512,0.837818024272863,0.858519762206602,0.876677524210314,0.893365691158727,0.908644183467869,0.923512940296045,0.936126721366438,0.946573867783191,0.956751679220263,0.962194353049725,0.969268172275498,0.974420419056207,0.979446350210069,0.983498701431118,0.987454080172698,0.990484216567085,0.992621545916146,0.996334494255929,0.997552993282884,0.997949828690855,0.998337803925425,0.997940596791332,0.99832019966521,0.997171925784483,0.994544757413271,0.992716914933025,0.990927320898924,0.986261317833049,"01","05"
"A06",0.0482286390379945,0.0428844293889454,0.040031031433882,0.0384139251817111,0.0379952118277893,0.0387385259606546,0.0440349750833416,0.0503570841834676,0.0599138120203214,0.0737195192453082,0.0861613568121362,0.104891214208489,0.122189939647946,0.144500902288913,0.172742000618911,0.19836907481277,0.226643790127123,0.256465806550684,0.285754632799983,0.317555834554056,0.347796857284024,0.380489930010827,0.416555863065397,0.447125169980225,0.481046141446689,0.514396353484032,0.547190091436116,0.581328329475593,0.613034617588047,0.642368337965352,0.673990589672755,0.701452916588912,0.732103242612309,0.76137140961822,0.788397923499239,0.813234971313482,0.835933132664329,0.855669965016792,0.873377708567636,0.887385464285509,0.901183934408118,0.911395261354942,0.921456269850028,0.929703712953731,0.937831508759108,0.944199702996363,0.950476833650091,0.956664840133406,0.960353901179723,0.9647895922389,0.969163617633397,0.971902746882105,0.974604318463913,0.977269099578978,0.977583993403804,0.978660756492632,0.978201173751174,0.977747683742809,"01","06"
"A07",0.0510981042161601,0.0428546196152499,0.0383267699709758,0.0372702139237965,0.0346576886899036,0.0415609002392105,0.0420384441120366,0.048514668809924,0.0650583469896204,0.0852996237176484,0.109027690352043,0.137439714037319,0.166178149478708,0.192541016925179,0.224565076429234,0.258068778763006,0.295523396515001,0.334225849770688,0.376577349946105,0.418765749852299,0.460798863273097,0.506204248980914,0.55135958840068,0.598551609752478,0.643206311541935,0.685436263048975,0.722083736824223,0.754461572289741,0.78486534973413,0.807123708176145,0.828769059370761,0.849826383166132,0.868318448918109,0.885334231358039,0.901905854697622,0.914203408927088,0.926188128740101,0.938809411625175,0.947413668732877,0.957636359987564,0.964900894216789,0.971098918420925,0.977150452230306,0.981316817620004,0.985386984553364,0.988512243251058,0.990724581051086,0.99288754744871,0.995002776893931,0.996257026176411,0.996678182734585,0.996292942493323,0.996704817425454,0.995546635157614,0.993639785915976,0.991007277240189,0.989942099101103,0.987399559156514,"01","07"
"A08",0.0458104197721468,0.0403113188397826,0.0383275126653176,0.0363911910925967,0.0356013617222272,0.0380934772380541,0.0405280087110303,0.0460958642333046,0.0557418711740661,0.0662116985473261,0.0815891069881182,0.097647139597473,0.11738039941209,0.137686615516089,0.162484752144423,0.187737844166046,0.216323449244818,0.24718506988417,0.279309087762323,0.311722610206893,0.345342554999702,0.37830040160586,0.414245538486154,0.447698974036042,0.481402639817998,0.512704285251184,0.546912167075235,0.579618635703918,0.612579876128189,0.643240349951907,0.675029836085249,0.704580811850335,0.735260453176913,0.764580153295886,0.793387968230413,0.81928095431571,0.841535634710869,0.860244858259391,0.877853432427361,0.892053583088646,0.906018155628013,0.915924684849389,0.925669548415795,0.934503409489999,0.94170099553469,0.948042666640376,0.954284118353063,0.959698067001877,0.964303823343833,0.968120101921442,0.971165043896418,0.973456238841987,0.976414982976796,0.979329419865464,0.978742124293408,0.979536653815355,0.979637994424166,0.978384666634611,"01","08"
"A09",0.0462425484836927,0.0417543861611727,0.0357296677337506,0.0334226684124409,0.0295489741331497,0.0307611782715028,0.0367185232636578,0.0533692851701378,0.0662453863260633,0.0815810812665091,0.109505073716167,0.12767268344556,0.153589035030499,0.182654718846203,0.217405239153012,0.252195360924202,0.288330621030472,0.328307188917076,0.370660451967656,0.41402719728086,0.460793114491634,0.505994321202422,0.55560107680159,0.603601807090662,0.648932207721233,0.69059472720193,0.728759238264402,0.760318247362946,0.789859330155644,0.813244302313953,0.835949239650757,0.853897049128696,0.874373919173796,0.891286278121109,0.90576532845282,0.920822787098211,0.932603693501344,0.943128361842774,0.952445879384275,0.961523797549539,0.967643348592645,0.973609480919061,0.980314675821072,0.984228063225664,0.987181539539221,0.990064506802873,0.992879460152374,0.995628778367327,0.995838326966909,0.997675228122668,0.99785700398765,0.997236846740661,0.997419446940382,0.996817571979082,0.993912422287424,0.992596931861637,0.990553411129766,0.986308866078542,"01","09"
"A10",0.0523181584579053,0.0483892343816343,0.0434103295030802,0.0407400434466991,0.0403176110251636,0.0431753082081222,0.0470652459276888,0.057322327531284,0.0695318997797382,0.0815362301092559,0.0996132303251648,0.116354559776324,0.134878033047869,0.159220013227755,0.183169309171072,0.209746258591944,0.235901275904988,0.266583475130778,0.294825959654933,0.327493055401614,0.358692463912641,0.391330785568262,0.422524097531875,0.455134772859742,0.488194856834267,0.520765079685289,0.552856248970932,0.582647430954235,0.612915862033671,0.643651240192088,0.673051383289351,0.701144705141645,0.72972574764507,0.758784277278649,0.784825576700343,0.809642446853295,0.831541539052015,0.85143581881846,0.867670645052746,0.88200361513871,0.895309111031741,0.906776749591237,0.91809347570532,0.925982497428297,0.933769049268443,0.939836401853945,0.946630124123606,0.952538244971245,0.95678359527639,0.960975537348587,0.965899133241506,0.968423988209379,0.971692047170224,0.975689629623933,0.975048847693694,0.977457025241585,0.977569033323006,0.976928508565883,"01","10"
"A11",0.0471937407263748,0.0407740854007219,0.0313979193028502,0.0303081312590458,0.0277141845879516,0.0328104587378745,0.0391971035302449,0.0511797573715678,0.0641474081943172,0.0780458880886374,0.0997296040825367,0.123359498995724,0.147501179393917,0.174748785684671,0.213963119273152,0.248081512987794,0.28233763480755,0.322856878538467,0.362100978401897,0.407259612199546,0.451040459211456,0.499269073982018,0.547205427706109,0.595981370460687,0.640045834987311,0.685035847321434,0.722335474191068,0.756492162409256,0.785548128077225,0.808679627134122,0.832214174639354,0.851125403780531,0.870538123717203,0.888479982333018,0.903077799953872,0.918265527191674,0.93214011458724,0.941961443544964,0.951547678698265,0.96090716139746,0.967357763144952,0.972772975207482,0.979816904531065,0.983236483670237,0.987436333436052,0.989849060778634,0.992209081111176,0.995346976733211,0.996777761491338,0.997366940606367,0.997943787661731,0.997714150787658,0.997489221882034,0.996490446698638,0.993970553171712,0.992263708877973,0.989835064030717,0.985957684249868,"01","11"
"A12",0.0456432616868159,0.0396563168329269,0.0349222006827449,0.0335564719379939,0.0322255623971454,0.0362021814445569,0.0390382442316974,0.0479780840148414,0.058733907905939,0.0652149708671787,0.0804736991096204,0.0992982257698503,0.11768723574535,0.135655670109314,0.16174504323269,0.181629790039532,0.213119612400803,0.243004343316154,0.276774930506561,0.308029188781119,0.341283453088678,0.374718890571315,0.410067629659294,0.442110974666966,0.478610723048657,0.513533745679454,0.546927133895808,0.582140352034358,0.611758161623141,0.644043699576131,0.676513348984108,0.707572427907808,0.737260690560161,0.767176269428387,0.7942219269619,0.818476329313219,0.840774038005111,0.860415788345751,0.876727190135768,0.891273671582804,0.904833722333431,0.915981209376547,0.925497936752724,0.934139081856651,0.941219323114716,0.947479438864666,0.954331356713416,0.959690393598982,0.964961898039222,0.968111470708479,0.971883813534074,0.974259975091746,0.977261289481702,0.979557968512824,0.980514052461257,0.980807987452337,0.981097415857774,0.98010738632762,"01","12"
"A13",0.0422093819515152,0.0333941024212703,0.0280924122910639,0.0245482038399256,0.0256323820481047,0.0310530614378221,0.0333892910440579,0.0426400640583812,0.0528990226488067,0.068149710809959,0.0841419676902155,0.106022640700651,0.128374716554746,0.154923980031723,0.187904464952072,0.223360124752148,0.262350545165669,0.304697714114337,0.345646607777337,0.390908155076962,0.438054535882172,0.485903747814414,0.537651514585231,0.588880611763754,0.636483026505127,0.683704820549893,0.721442486004422,0.756097706450098,0.786816886244913,0.811823261423269,0.836140476422896,0.855074224164946,0.874431980636529,0.892357941950914,0.908000727733475,0.921448638562179,0.934554235214138,0.945583896962415,0.95633976987986,0.964276366890922,0.971179190498517,0.977916816639964,0.983673471295778,0.987671513836165,0.990774539156366,0.993013208830365,0.995201327411591,0.998116356957978,0.998665405389946,0.999961287326282,0.998977287402298,0.998756925728247,0.999275977911364,0.997602971343917,0.995245076474355,0.991511189397885,0.988558000257337,0.98496627215089,"01","13"
"A14",0.0437475987050335,0.0390142787196289,0.0343876246349125,0.032155017371364,0.0322373152228456,0.0356793306207782,0.0401555479512052,0.0456328728889164,0.0520796082249038,0.0605390753723284,0.0773244456282294,0.0948181089344108,0.112998547611657,0.13699830290257,0.160521638082466,0.186613742956356,0.21519961723175,0.245216248310208,0.274659771605016,0.303546445433509,0.337670258252547,0.369252447289226,0.40214450699794,0.436310632384086,0.471716311631187,0.506488334383976,0.539731753019838,0.574198257457681,0.608064040532837,0.639568320603443,0.671413482629002,0.700971572387167,0.733494793211574,0.763757814558032,0.790965392086264,0.817726029310021,0.839025492418642,0.859149964563545,0.876479504095399,0.891080789121811,0.90382948895174,0.915573854760106,0.925538792502193,0.933765444900735,0.941079977895197,0.948283474661859,0.953829572764258,0.959292738798572,0.963911877629103,0.967705641737559,0.97144392133602,0.973635273303975,0.976535985140961,0.978659539316431,0.979292082110741,0.979190434698758,0.978370026605155,0.977561032854296,"01","14"
"A15",0.0431117338625634,0.0371855178011085,0.0315716106225185,0.0314058974169364,0.0245407702235601,0.0261908172314778,0.0341501206995499,0.0510975957407708,0.0611766339782848,0.0752784237041982,0.0902244027429613,0.117375923278597,0.140600666424341,0.168350959863258,0.203037430000252,0.235047448717648,0.27098346802907,0.311888280747521,0.355002044919871,0.396546637651222,0.444987894959535,0.491727996412915,0.542635315162498,0.590679076468144,0.638237564637462,0.683136343987864,0.722259958021174,0.754819389466648,0.785312961200494,0.80971021771123,0.834383442825585,0.854316990407239,0.872677904428343,0.889534608859303,0.904951614990076,0.91898979716136,0.931706645502553,0.943156497882755,0.952484816367936,0.961564217042865,0.968640370245179,0.974661992245637,0.981388565786735,0.984550487344617,0.988471262185447,0.991467570709157,0.99439075483434,0.995628170091583,0.996836105881867,0.998015603257192,0.998388199990944,0.997981735925437,0.997584514827024,0.996443058367157,0.995326981426205,0.992025633171351,0.990253279059834,0.98635679442276,"01","15"
"A16",0.0387055471422856,0.0366501621352718,0.0323068627364648,0.0292043788671025,0.0295887889618625,0.0310959352265119,0.0348120958169959,0.0439982270438061,0.0530078604973885,0.0629333533742988,0.0780570887460941,0.0928983841532612,0.111693645155347,0.129096882946527,0.154487464858307,0.174277971976609,0.202890134824909,0.229985902001983,0.261614435370535,0.292693353919673,0.32520544850472,0.357162224340853,0.391480661465472,0.426182270125884,0.460305968698196,0.493866074474039,0.528748282100675,0.562135410114062,0.594984441595778,0.626394803383499,0.660931891032711,0.691329075735622,0.72214373475061,0.75425133984295,0.784108598001893,0.809152000220742,0.832951155300463,0.853816968505879,0.870110730701178,0.886163270809456,0.900300617593558,0.910897641572515,0.922168673231791,0.929991501993023,0.937702650605616,0.944494604240422,0.951190959470826,0.956196581145246,0.961925753060296,0.965213266687906,0.969237945920747,0.973207902401717,0.975581028636458,0.978688753482203,0.977948436204057,0.978730493469337,0.978750951808228,0.978024735417369,"01","16"
"A17",0.0408476400803849,0.0342851349999775,0.0296645285498777,0.023605410875483,0.0257762338580755,0.0294257864171266,0.0329330259702279,0.0453373257920611,0.0528452119195254,0.0687750092230149,0.0841285700142183,0.1003348447425,0.121470677563285,0.148632619098908,0.177533284286089,0.213308034679156,0.254336225138936,0.291519960671723,0.334990185759278,0.378332320166608,0.422757743678469,0.470592047980628,0.521683252391139,0.572430671416826,0.620577385996051,0.663994913439763,0.706194371608091,0.740693738584552,0.771029927014684,0.79843050809807,0.821967076526591,0.843854932840127,0.86313974472095,0.880926579879742,0.899257398378507,0.913210485285101,0.927788495415642,0.940099288295869,0.949279558043354,0.96010951563278,0.968839894718983,0.973719460115962,0.980290555296575,0.985821342974075,0.98946530661833,0.991285138985002,0.994789417561066,0.996512122788417,0.998197895397897,0.999013183858241,0.998985393744861,0.998140792162577,0.997313553298946,0.997303903559331,0.994123682370535,0.991006882259081,0.987951624807217,0.984186662158273,"01","17"
"A18",0.0414575470197677,0.036506792962046,0.0339986846688943,0.0304077453608887,0.0302973912073559,0.0346587572645015,0.0367081589905415,0.0430728535564368,0.0503673561648766,0.0606910633154387,0.0739404556917248,0.0910584391316561,0.108825277811863,0.128238342389438,0.151259250759385,0.174780798908532,0.201745640188344,0.232044794275303,0.262676940443463,0.295543064380352,0.329628749088827,0.363960652637409,0.396677527364055,0.430580623287913,0.465634978420187,0.499107384740593,0.532825966182337,0.567666368456842,0.600099379827116,0.632791117181417,0.663160002040942,0.693820804467948,0.725608040801184,0.757656319698524,0.786648955748693,0.812667225670454,0.837415302232041,0.85850899757534,0.874445324373593,0.889316742123381,0.9039356453785,0.91441510757766,0.924719600988357,0.933321936099711,0.941783002272898,0.94709307316043,0.953811768234012,0.95894033806846,0.963987363955591,0.967495717883844,0.971672982042191,0.973630776674692,0.976271067666367,0.978870983114148,0.978624040759929,0.979077382584364,0.978832589063723,0.97790519887406,"01","18"
"A19",0.0472070344138087,0.0384028737353444,0.0351721766805162,0.0337683261256266,0.0308026524781029,0.0343388880568609,0.0377139011813958,0.0454983875183794,0.0633512790541367,0.0804423298743752,0.0996687091324423,0.125085999360584,0.154954189279847,0.186329406903277,0.216494809199878,0.245519047548211,0.282327825943492,0.325252562444025,0.364199245646591,0.407772370525629,0.452196561123941,0.496269955167815,0.54570582987378,0.593517335342589,0.639783238061568,0.683492512056567,0.72049406297466,0.755303449021851,0.784914392991164,0.808540231402227,0.832474700653498,0.851753001148466,0.871455548210211,0.888677410429791,0.902573206020752,0.917023515219753,0.930159335406683,0.941122429570443,0.949998712681354,0.959531255158088,0.966191513549438,0.97095345490537,0.978157800665242,0.981810673160974,0.986207330596065,0.988851933753712,0.9922466290261,0.993954171363799,0.99562194226832,0.996466239744823,0.997291319768096,0.996563016848832,0.997368657901319,0.996655533824378,0.995215587801584,0.992337945717741,0.99097467648596,0.986764660670281,"01","19"
"A20",0.0410275602338562,0.0387815352507773,0.0365897576263879,0.0332951593012669,0.0300782575400856,0.0337055497044416,0.039479681445185,0.0451222941691365,0.052818011297798,0.0668100572052932,0.079427850060776,0.0938797039129984,0.110106332338707,0.131146938920831,0.151743682668997,0.175952239210545,0.201660667067089,0.232782089872984,0.265233097375598,0.297033828368124,0.329163961386061,0.363515576830527,0.398140561302809,0.433963587573476,0.466331987421296,0.500833383287235,0.531969590050893,0.566120052849694,0.599642788998233,0.631673332468414,0.662252083111109,0.6914179954321,0.721783153097025,0.753315943441639,0.781769753558333,0.808060284158047,0.830585530756847,0.852728367386817,0.870424296813015,0.886208759477842,0.900129222911873,0.910642071668507,0.922560291769491,0.930376365781968,0.938842847298922,0.944866255412445,0.951558086758786,0.957387748870875,0.962375322270723,0.965794487832373,0.969901454765051,0.972477174527708,0.975014105315107,0.977513116791041,0.978538813283264,0.978836572583484,0.978422357433607,0.978014153818165,"01","20"
"A21",0.0439794269721463,0.0337962693205912,0.0280359604052357,0.0263322904387182,0.022901008482389,0.0267354120739004,0.0355535172222903,0.0456167412554915,0.0551918394683827,0.0707285082374997,0.0839797616541679,0.0996943258446731,0.123698370867986,0.151058996703223,0.187298932464053,0.220631886259338,0.262240818385201,0.299496402805978,0.339263668244146,0.382695065278235,0.429584094508056,0.478490596762282,0.526852432717747,0.578312074758979,0.627973437496887,0.671276750817026,0.711974439869949,0.749071801123212,0.779426873344168,0.805541368394846,0.830829874781014,0.851113144780177,0.870774534664802,0.887796982152521,0.904313050994988,0.917367083516226,0.930044006740297,0.943324302287379,0.953379219673947,0.961280388973609,0.968965773929805,0.974619279400082,0.981923049807288,0.98548131982314,0.988947444980905,0.990593445667928,0.993907556962836,0.996294879885105,0.997789641857618,0.998424405385211,0.998230168071274,0.997236455509979,0.997855366977333,0.996889048234268,0.995168450783002,0.992719221030734,0.990324886994453,0.986482384980947,"01","21"
"A22",0.0385286769832702,0.0312278474322944,0.0254000737317453,0.0234939272925748,0.0278265104271184,0.0308232010173619,0.0349467031329201,0.0389637905965738,0.0417040777691889,0.0513335015595442,0.0607236813405388,0.0698834237734431,0.0844086510319459,0.104106588357758,0.123338295507549,0.145355023004659,0.167928517028552,0.197361588007592,0.233421704667698,0.266615788762119,0.301113735682584,0.33788038340232,0.374848761133808,0.411026360992533,0.449365089788163,0.48207397809454,0.519837238371484,0.553043530101059,0.58744753796795,0.619306849346535,0.653284202599131,0.682958774514678,0.715652145173945,0.749495282234247,0.78004397377655,0.809139658224985,0.833360575101207,0.855415625454498,0.875364695676148,0.890739618435787,0.905001923178459,0.917354693296086,0.927848850270451,0.935721238376722,0.944261304388563,0.950258838046778,0.957736139118346,0.962732275243106,0.966866078804071,0.970930696653896,0.974927851276052,0.977341611593119,0.978963359090303,0.981305353277884,0.981388182858366,0.981469692432556,0.980092301102588,0.979459606039944,"01","22"
"A23",0.043887527433197,0.0351865201701837,0.0269419515037727,0.0250669440571048,0.0232853934302422,0.0291356218796061,0.0347080989085754,0.0454185650852056,0.0574016188846317,0.0705726573472123,0.0882180391199702,0.10511455547567,0.132592327345267,0.160530533593837,0.191996826767101,0.223749514228722,0.260236787749082,0.304111708880741,0.344932171637838,0.394122275186692,0.441559522044674,0.487335964920324,0.540879545434023,0.591299915222162,0.63746269893732,0.680845957724942,0.721583912729714,0.754886706899707,0.784731368911481,0.812468351090486,0.835846993746788,0.857373408851556,0.874851761336346,0.8918244157334,0.907206781844657,0.92106593625071,0.932389686323962,0.944464570699194,0.954120600811141,0.963519567426372,0.970633531444849,0.977563018191316,0.983322163813384,0.986974942353312,0.990536544624344,0.993054113459548,0.995510372117466,0.997907533279136,0.998403446795766,0.998887708981375,0.999360725684816,0.998042129882003,0.997633733063199,0.998104897615134,0.995122649408747,0.991354561122414,0.989352382190485,0.985727180906122,"01","23"
