"well","row","col","dHm_fit","Tm_fit","BS_factor","T_onset","dG_std"
"A01","01","01",172929.414201247,330.972064309847,0.952909584714211,308.420698580293,17149.182562622
"A02","01","02",142723.637336222,334.995781396787,0.952225684603196,307.428471877258,15698.0004927761
"A03","01","03",169395.619402215,331.126879369651,0.955494691675473,308.11697815241,16870.0859241879
"A04","01","04",142716.496797967,335.357803075424,0.951587606841396,307.732067113714,15834.3335380176
"A05","01","05",172044.39844065,330.990778321081,0.956610083761144,308.328873238157,17070.1793543389
"A06","01","06",134647.903343977,334.714745021734,0.951120029264215,305.684205186863,14709.1406240974
"A07","01","07",164528.754248729,330.97028864099,0.953070439704365,307.349894962794,16315.30499719
"A08","01","08",138152.695760708,334.763213702915,0.949241750965669,306.398891037728,15109.8267864328
"A09","01","09",169606.589446244,330.971824610272,0.954548513219526,308.009331427382,16819.551749174
"A10","01","10",130157.021698411,334.549300322568,0.952302526671272,304.634978916465,14161.2148562961
"A11","01","11",170040.428643956,331.141540836808,0.953817581102462,308.21089316157,16941.0812407858
"A12","01","12",139040.444984695,334.804387720819,0.956439792178393,306.599266727623,15222.1493094469
"A13","01","13",178580.900038927,331.405691491735,0.951212907233436,309.465328068088,17920.1247005711
"A14","01","14",139047.138428429,334.93515039661,0.950604306511225,306.710166233835,15271.2245736264
"A15","01","15",173597.471990092,331.280619330029,0.954527066953384,308.769654565772,17361.087324669
"A16","01","16",139249.835847457,335.282587894767,0.955596881546661,307.039187698378,15421.9364668007
"A17","01","17",175580.944731771,331.750231829724,0.949575302319961,309.415402139838,17783.1388853334
"A18","01","18",140371.033723964,335.168056500159,0.950802165989055,307.14973400291,15503.4549283695
"A19","01","19",168789.604670257,331.133935197082,0.955922516632443,308.046230624947,16812.9714010475
"A20","01","20",138378.970414192,335.188000763412,0.953564485193091,306.797260961362,15290.7633929849
"A21","01","21",176726.18036485,331.578933570519,0.954756948374761,309.401307943987,17817.0780633497
"A22","01","22",147645.154849342,335.726081207227,0.949409729629998,308.892416374935,16525.1573798584
"A23","01","23",177461.237151126,331.378157944874,0.952613668979823,309.312128777362,17794.5041813267
"A24","01","24",140683.640899723,335.096716960313,0.946079574810648,307.146864298687,15511.3386619183
"B01","02","01",172664.153869292,331.078839073142,0.957989599486257,308.481115833812,17173.0399695103
"B02","02","02",140367.977623272,335.250870174677,0.952270708573789,307.21872008352,15533.9615129696
"B03","02","03",174703.171135479,331.315086622427,0.954705859733467,308.932470574453,17488.0228455275
"B04","02","04",135328.968987656,334.602581899859,0.944571859988627,305.724057840558,14743.1328755329
"B05","02","05",161892.955153107,331.035004189682,0.955611064201904,307.048866088931,16082.4397453732
"B06","02","06",134976.706348235,334.684872625987,0.95070429957309,305.723877582052,14734.328250978
"B07","02","07",178977.0227217,331.81735246116,0.95054958132869,309.869713453892,18159.6365040187
"B08","02","08",130972.343699026,335.203844602622,0.952867200169081,305.347876415893,14477.8437025926
"B09","02","09",169658.360411785,331.101661319153,0.955324627459911,308.128299886864,16884.6172803198
"B10","02","10",132772.876148897,334.629727839076,0.945325589401901,305.239512280172,14474.262097396
"B11","02","11",171848.109663973,331.083336656787,0.950697139280488,308.385066208905,17093.9791369291
"B12","02","12",142179.494975042,335.270543204253,0.945199284510099,307.562920201987,15741.8544305714
"B13","02","13",171479.091466724,331.184737754343,0.955254232731084,308.427521912347,17104.552750127
"B14","02","14",134898.737894136,335.303180195269,0.94888898968326,306.224384276942,14947.4189722161
"B15","02","15",177318.999937737,331.60581771207,0.953449765677179,309.493927776185,17889.770992964
"B16","02","16",131690.773577581,335.743812219133,0.957527396908186,305.944753751395,14745.6424591877
"B17","02","17",172408.67488128,331.234828305466,0.954092738265187,308.585308912492,17220.7476973395
"B18","02","18",131850.851467994,334.810012651228,0.955095552194074,305.201970202279,14437.0051678446
"B19","02","19",177828.416467269,332.337930748327,0.947358829435546,310.190940083051,18293.3846087871
"B20","02","20",138108.556301082,335.411455022521,0.953362511284155,306.933520375049,15342.7251269415
"B21","02","21",177955.515132362,331.861856402984,0.949038209063887,309.790887997074,18077.4338976046
"B22","02","22",137395.161815685,335.880410083662,0.955190330680545,307.190579035031,15433.9927045036
"B23","02","23",180931.068544424,331.758985262406,0.94990656458534,310.040252051392,18329.2989379358
"B24","02","24",143489.772461391,335.224050631661,0.950042502012716,307.756013044307,15869.2285930413
"C01","03","01",168459.130183491,331.550601669081,0.953636312668998,308.364561142486,16970.6713740021
"C02","03","02",136849.536713268,335.151276999934,0.955213118531321,306.476406989477,15108.4240542557
"C03","03","03",178345.680284934,331.896131821017,0.942175332097869,309.865844209588,18133.6154886251
"C04","03","04",141016.240526373,335.535177731786,0.956868103021857,307.575773414159,15711.9657342186
"C05","03","05",177069.909683173,332.364637219647,0.941916435441169,310.125669612411,18228.1206960102
"C06","03","06",134544.060290421,335.319911845654,0.952025333515168,306.168341247933,14914.0885574765
"C07","03","07",164237.011264416,330.734060797042,0.953637354874163,307.107264199187,16180.7004312391
"C08","03","08",140487.217713154,335.40236435697,0.954129228698136,307.367756911172,15603.5901290706
"C09","03","09",167530.713485604,331.106509127375,0.953047333930637,307.861211167898,16675.0798788431
"C10","03","10",141952.185030205,335.316440481589,0.948625594771037,307.560837681774,15733.9658878024
"C11","03","11",168138.310900524,331.08596282235,0.950432058105883,307.921562924889,16726.1611142475
"C12","03","12",138758.816107133,335.192168452198,0.954683891004653,306.871906142389,15334.2706788239
"C13","03","13",166912.410832139,331.068272518643,0.955309372042591,307.748129077961,16596.1787419743
"C14","03","14",139783.016363649,335.632105348389,0.953429487839565,307.431149918257,15610.4307715717
"C15","03","15",172610.896787793,331.601764841952,0.951123261755949,308.928529063711,17412.8721276732
"C16","03","16",140751.938839034,335.04981589843,0.947910852835385,307.119888753257,15501.3385594037
"C17","03","17",169809.295318479,331.372171788391,0.953900305370033,308.381593962125,17024.4639128557
"C18","03","18",144086.416874678,335.493916961537,0.952206726463577,308.088062738316,16038.2973133618
"C19","03","19",174929.421505323,331.855706720729,0.948805907796673,309.429539086035,17767.1188371246
"C20","03","20",135311.776758198,335.309925754714,0.948051701551858,306.311100087643,14995.606129928
"C21","03","21",168856.768146185,331.353878420552,0.952644658282291,308.245117718115,16920.5793719347
"C22","03","22",133762.244370091,335.148224679676,0.948347175222712,305.869853362445,14766.497944581
"C23","03","23",180240.182029188,331.752130339148,0.953910520810871,309.956486820372,18255.9614092153
"C24","03","24",137311.610440743,335.12007534458,0.954920933499867,306.538565425889,15148.0647002724
"D01","04","01",172163.49582303,331.02178345255,0.955054029684901,308.370384594975,17096.5218485081
"D02","04","02",138648.388009427,335.379804592241,0.949740668213366,307.008497640082,15391.0650609868
"D03","04","03",174410.45995918,331.534774586607,0.94747982412526,309.088403647504,17562.7244488726
"D04","04","04",140956.855086259,335.802364069532,0.950309008464422,307.789458775701,15805.0073307559
"D05","04","05",178928.380296295,332.128365587701,0.944887082943055,310.135345742776,18305.2534792225
"D06","04","06",139645.131681951,335.786438024389,0.953421932659037,307.535106914012,15652.047696976
"D07","04","07",175617.719928495,331.281203211457,0.949427801928001,309.011713477629,17563.4062846899
"D08","04","08",138850.182958641,335.599330986942,0.951201360926417,307.230238008075,15494.2098481655
"D09","04","09",173228.974398957,331.670422949142,0.950824987747656,309.063532105012,17507.465505266
"D10","04","10",134738.104582124,335.455753258486,0.949909154638718,306.319952392716,14984.1117203425
"D11","04","11",165155.5720008,331.188526539916,0.950143833346101,307.621459149412,16475.5005427574
"D12","04","12",137826.89518536,335.672380490964,0.947288658825036,307.098682382311,15406.6688342638
"D13","04","13",166062.270362453,331.217232150256,0.944597405983812,307.765809837606,16578.9068697451
"D14","04","14",142517.736088376,336.02172964242,0.951303390640522,308.255544905249,16062.6313546224
"D15","04","15",174973.380323727,331.775282877933,0.943680173191276,309.364867723251,17733.4771850929
